name,url,use,rating,aromas,Alpha Acid-low,Alpha Acid-mid,Alpha Acid-high,Beta Acid-low,Beta Acid-mid,Beta Acid-high,Co-humulone-low,Co-humulone-mid,Co-humulone-high,Total Oil-low,Total Oil-mid,Total Oil-high,Geraniol-low,Geraniol-mid,Geraniol-high,Caryophyllene-low,Caryophyllene-mid,Caryophyllene-high,B-Pinene-low,B-Pinene-mid,B-Pinene-high,Myrcene-low,Myrcene-mid,Myrcene-high,Humulene-low,Humulene-mid,Humulene-high,Linalool-low,Linalool-mid,Linalool-high,Farnesene-low,Farnesene-mid,Farnesene-high,Total-low,Total-mid,Total-high
,,,stars,,%,%,%,%,%,%,%,%,%,mL/100g,mL/100g,mL/100g,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil
Crystal,https://ychhops.com/varieties/crystal,aroma,,"[u'Earthy', u'Herbal']",3,4.5,6,6,7.25,8.5,23,24.5,26,0.8,1.55,2.3,0.4,0.55,0.7,5,8.5,12,0.4,0.7,1,30,42.5,55,20,25,30,0.6,0.8,1,0,0.5,1,56.4,78.55,100.7
Ekuanot‰ã¢,https://ychhops.com/varieties/ekuanot-brand-hbc-366-cv,aroma,4.143,"[u'Citrus', u'Tropical Fruit', u'Fruity', u'Herbal']",13,14.25,15.5,4,4.5,5,31,33.5,36,2.5,3.25,4,0.2,0.2,0.2,8,10,12,0.4,0.6,0.8,30,37.5,45,12,16,20,0.2,0.35,0.5,0,0.5,1,50.8,65.15,79.5
Falconer's Flight 7C'så¨,https://ychhops.com/varieties/falconers-flight-7cs,aroma,5,"[u'Earthy', u'Citrus', u'Spicy']",9,9.75,10.5,4.7,4.9,5.1,0,24,48,1.7,1.7,1.7,0,0,0,0,10,20,0,1,2,0,35,70,0,27.5,55,0,1,2,0,10,20,0,84.5,169
Falconer's Flightå¨,https://ychhops.com/varieties/falconers-flight,aroma,5,"[u'Floral', u'Citrus', u'Tropical Fruit']",9.5,10.75,12,4,4.5,5,20,22.5,25,1.6,3.1,4.6,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0
Fuggle,https://ychhops.com/varieties/fuggle,aroma,5,"[u'Fruity', u'Herbal', u'Cedar']",3,4.5,6,2,2.75,3.5,25,28.5,32,0.5,0.75,1,0.1,0.2,0.3,11,13,15,0.2,0.35,0.5,15,20,25,30,35,40,0.6,0.8,1,5,6.5,8,61.9,75.85,89.8
Fuggle,https://ychhops.com/varieties/fuggle-1,aroma,4.5,[u'Earthy'],3,4.3,5.6,2,2.5,3,25,27.5,30,0.7,1.05,1.4,0,0,0,9,11,13,,,,24,26,28,33,35.5,38,,,,5,6,7,71,78.5,86
Gold,https://ychhops.com/varieties/gold,aroma,,"[u'Earthy', u'Herbal']",3.5,5,6.5,3.5,4.7,5.9,,,,1.3,1.8,2.3,0,0,0,,,,,,,38,42.5,47,,,,1.3,1.65,2,,,,39.3,44.15,49
Golding,https://ychhops.com/varieties/golding,aroma,3.667,"[u'Floral', u'Fruity', u'Herbal']",3,4.75,6.5,2,2.75,3.5,25,26.5,28,0.4,0.7,1,0.1,0.1,0.1,10,12.5,15,0.3,0.4,0.5,25,30,35,35,40,45,0.6,0.75,0.9,0,0.5,1,71,84.25,97.5
Goldings,https://ychhops.com/varieties/goldings,aroma,,"[u'Floral', u'Citrus']",4,5,6,2,2.5,3,23,25.5,28,0.7,0.85,1,0,0,0,13,14.5,16,,,,25,30,35,35,40,45,,,,0,0.5,1,73,85,97
Hallertau,https://ychhops.com/varieties/hallertau,aroma,5,"[u'Earthy', u'Herbal']",3.5,5,6.5,2.5,4.5,6.5,23,24.5,26,0.5,0.75,1,0.1,0.35,0.6,10,12.5,15,0.2,0.4,0.6,18,21.5,25,35,40,45,0.6,0.8,1,0,0.5,1,63.9,76.05,88.2
Hallertau Mittlefruh,https://ychhops.com/varieties/hallertau-mittlefruh,aroma,5,"[u'Floral', u'Citrus', u'Spicy']",3,4.25,5.5,3,4,5,18,23,28,0.7,1,1.3,0,0,0,14.5,14.6,14.7,,,,14,15,16,55,55.1,55.2,,,,0,0.5,1,83.5,85.2,86.9
HBC 472,https://ychhops.com/varieties/hbc-472,aroma,,"[u'Floral', u'Tropical Fruit', u'Cedar']",9,10,11,7,8,9,42,44,46,0,2.5,5,0,0.1,0.2,20,20,20,0,1,2,,,,1,1.5,2,0,0.05,0.1,,,,21,22.65,24.3
Hersbrucker,https://ychhops.com/varieties/hersbrucker,aroma,3,"[u'Earthy', u'Citrus']",1.5,2.75,4,2.5,4.25,6,17,21,25,0.5,0.75,1,0,0,0,8,10.5,13,,,,15,22.5,30,20,25,30,0.5,0.75,1,0,0.5,1,43.5,59.25,75
Huell Melon,https://ychhops.com/varieties/huell-melon,aroma,2.667,[u'Fruity'],6.9,7.2,7.5,7.3,7.6,7.9,25,27.5,30,0.7,0.8,0.9,0,0,0,5,7.5,10,,,,35,36,37,10,15,20,,,,0,0.5,1,50,59,68
Liberty,https://ychhops.com/varieties/liberty,aroma,,"[u'Floral', u'Citrus', u'Spicy']",4,4.75,5.5,3,3.5,4,22,23,24,1,1.4,1.8,0.1,0.2,0.3,10,12.5,15,0.1,0.2,0.3,15,20,25,35,40,45,0.6,0.8,1,0,0.5,1,60.8,74.2,87.6
Mandarina Bavaria,https://ychhops.com/varieties/mandarina-bavaria,aroma,4.2,"[u'Citrus', u'Fruity']",7,8.5,10,5,5.75,6.5,31,33,35,2.1,2.2,2.3,0,0,0,1,3,5,,,,70,71,72,5,10,15,,,,0,0.5,1,76,84.5,93
Mosaicå¨,https://ychhops.com/varieties/mosaic-brand-hbc-369-cv,aroma,4.834,"[u'Earthy', u'Floral', u'Fruity']",10.5,12.25,14,3,3.75,4.5,21,23,25,0.8,1.9,3,0.5,0.7,0.9,3,5.5,8,0.6,0.8,1,48,51.5,55,10,12.5,15,0.4,0.6,0.8,0,0.5,1,62.5,72.1,81.7
Motueka,https://ychhops.com/varieties/motueka,aroma,5,"[u'Citrus', u'Tropical Fruit']",6.5,7,7.5,5,5.25,5.5,28,29,30,0.7,0.8,0.9,0,0,0,1,2,3,,,,47,48,49,3.5,3.6,3.7,,,,12.1,12.2,12.3,63.6,65.8,68
Mt. Hood,https://ychhops.com/varieties/mt-hood,aroma,,"[u'Spicy', u'Herbal']",4,5.25,6.5,4.4,5.8,7.2,21,23,25,0.8,1.4,2,0.1,0.3,0.5,10,13,16,0.4,0.6,0.8,25,30,35,30,35,40,0.5,0.7,0.9,0,0.5,1,66,80.1,94.2
Nugget,https://ychhops.com/varieties/nugget-1,aroma,4,[u'Herbal'],11.5,12.75,14,3,4,5,22,26,30,0.9,1.1,1.3,0,0,0,7,8.5,10,,,,27,34.5,42,16,17.5,19,,,,0,0.5,1,50,61,72
Pacifica,https://ychhops.com/varieties/pacifica,aroma,5,"[u'Floral', u'Citrus']",5,5.5,6,5.9,6,6.1,24,25,26,0.9,1,1.1,0,0,0,16.6,16.7,16.8,,,,12,12.5,13,50.8,50.9,51,,,,0,0.5,1,79.4,80.6,81.8
Palisadeå¨,https://ychhops.com/varieties/palisade-brand-ycr-4-cv,aroma,5,"[u'Earthy', u'Floral', u'Fruity']",6.5,8.25,10,5.5,6.75,8,26,27,28,0.8,1.4,2,0.1,0.3,0.5,8,12,16,0.6,0.7,0.8,45,48.5,52,10,15,20,0.4,0.5,0.6,0,0.5,1,64.1,77.5,90.9
Perle,https://ychhops.com/varieties/german-perle,aroma,4.5,"[u'Floral', u'Spicy', u'Fruity', u'Herbal']",4,6.5,9,2.5,3.5,4.5,29,32,35,0.5,1,1.5,0,0,0,10,15,20,,,,20,27.5,35,35,45,55,,,,0,0.5,1,65,88,111
Riwaka,https://ychhops.com/varieties/riwaka,aroma,4.667,"[u'Citrus', u'Tropical Fruit']",4.5,5.5,6.5,4,4.5,5,31,32,33,1.4,1.5,1.6,0,0,0,3.9,4,4.1,,,,67,68,69,8.9,9,9.1,,,,0,0.5,1,79.8,81.5,83.2
Saaz,https://ychhops.com/varieties/czech-saaz,aroma,4.667,"[u'Floral', u'Citrus', u'Spicy', u'Herbal']",2.5,3.5,4.5,4,5,6,23,24.5,26,0.4,0.6,0.8,0,1,2,6,7.5,9,0.4,0.6,0.8,26,33,40,15,22.5,30,0.4,0.5,0.6,14,17,20,61.8,82.1,102.4
Santiam,https://ychhops.com/varieties/santiam,aroma,5,"[u'Floral', u'Spicy']",6,7.25,8.5,7,7.5,8,22,23,24,1,1.6,2.2,0,0.15,0.3,6,7.5,9,0.2,0.3,0.4,15,20,25,20,25,30,0.8,1,1.2,14,16,18,56,69.95,83.9
Saphir,https://ychhops.com/varieties/saphir,aroma,5,"[u'Floral', u'Citrus', u'Spicy', u'Fruity']",2,3,4,4,5.5,7,12,14.5,17,0.8,1.1,1.4,0,0,0,9,11.5,14,,,,25,32.5,40,20,25,30,,,,0,0.5,1,54,69.5,85
Savinjski Golding,https://ychhops.com/varieties/savinjski-golding,aroma,,"[u'Earthy', u'Floral', u'Spicy']",4.5,5.25,6,2.5,3,3.5,25,27.5,30,0.5,0.75,1,0,0,0,9,10,11,,,,27,30,33,34,36,38,,,,2,3.5,5,72,79.5,87
Select,https://ychhops.com/varieties/select,aroma,,"[u'Grassy', u'Spicy']",3,4.75,6.5,2.4,3.7,5,21,24,27,0.6,0.75,0.9,0,0,0,4,7,10,,,,20,30,40,10,16,22,1,1.25,1.5,15,18.5,22,50,72.75,95.5
Spalt,https://ychhops.com/varieties/spalt,aroma,,"[u'Earthy', u'Herbal']",2.5,4,5.5,3,4,5,22,25.5,29,0.5,0.7,0.9,0,0,0,8,10.5,13,,,,20,27.5,35,20,25,30,0.5,0.65,0.8,12,15,18,60.5,78.65,96.8
Sterling,https://ychhops.com/varieties/sterling,aroma,,"[u'Floral', u'Citrus', u'Spicy', u'Herbal']",5.5,7,8.5,4.5,5.25,6,22,24.5,27,1,1.5,2,0.2,0.2,0.2,5,6.5,8,0.3,0.45,0.6,35,40,45,16,17,18,0.6,0.75,0.9,15,17,19,72.1,81.9,91.7
StrisselSpalt,https://ychhops.com/varieties/strisselspalt,aroma,,"[u'Earthy', u'Grassy', u'Citrus', u'Spicy', u'Herbal']",1.8,2.15,2.5,4,4.35,4.7,20,21.5,23,0.6,0.7,0.8,0,0,0,8,9,10,,,,35,43.5,52,13,17,21,,,,0,0.5,1,56,70,84
Summer,https://ychhops.com/varieties/summer,aroma,4.667,"[u'Stone Fruit', u'Tropical Fruit', u'Fruity']",5.6,6,6.4,4.8,5.45,6.1,20,22.5,25,1.4,1.7,2,0,0,0,8,9.5,11,,,,29,33.5,38,28,39,50,0.2,0.4,0.6,0,0.5,1,65.2,82.9,100.6
Sussex,https://ychhops.com/varieties/sussex,aroma,,"[u'Earthy', u'Grassy', u'Citrus', u'Herbal']",4.3,5.05,5.8,2.4,2.8,3.2,32,37.5,43,0.4,0.5,0.6,0,0,0,,,,,,,42,42,42,23,23,23,,,,0,0.5,1,65,65.5,66
Sylva,https://ychhops.com/varieties/sylvia,aroma,,"[u'Earthy', u'Floral', u'Herbal']",5.6,6.45,7.3,3,3.8,4.6,20,22.5,25,1,1.2,1.4,0,0,0,5,6.5,8,,,,26,31,36,18,22.5,27,,,,25,25,25,74,85,96
Tahoma,https://ychhops.com/varieties/tahoma,aroma,4.5,"[u'Floral', u'Citrus', u'Pine', u'Cedar']",6,6.75,7.5,7,7.5,8,15,16,17,1.5,1.75,2,0.1,0.1,0.1,3,4,5,0.8,1,1.2,55,60,65,8,10,12,0.4,0.6,0.8,0,0.5,1,67.3,76.2,85.1
Tettnang,https://ychhops.com/varieties/tettnang,aroma,,"[u'Earthy', u'Herbal']",4,5,6,2.5,3.25,4,25,26.5,28,0.4,0.7,1,0.2,0.3,0.4,10,12,14,0.3,0.4,0.5,30,35,40,25,27.5,30,0.6,0.7,0.8,5,6.5,8,71.1,82.4,93.7
Tettnang,https://ychhops.com/varieties/tettnang-1,aroma,,"[u'Spicy', u'Herbal']",3,4.5,6,3,4,5,22,25.5,29,0.5,0.7,0.9,0,0,0,6,8.5,11,,,,20,27.5,35,20,25,30,0.4,0.65,0.9,16,20,24,62.4,81.65,100.9
Tradition,https://ychhops.com/varieties/tradition,aroma,,"[u'Floral', u'Fruity', u'Herbal']",4,5.5,7,3,4.5,6,24,27,30,0.5,0.75,1,0,0,0,10,12.5,15,,,,17,24.5,32,35,42.5,50,,,,0,0.5,1,62,80,98
Triplepearl,https://ychhops.com/varieties/triplepearl,aroma,5,"[u'Citrus', u'Spicy', u'Tropical Fruit', u'Pine']",10.3,10.75,11.2,3.3,3.75,4.2,,,,1.1,1.45,1.8,0,0,0,3,4,5,,,,,,,7,9,11,,,,,,,10,13,16
Triskel,https://ychhops.com/varieties/triskel,aroma,,"[u'Floral', u'Citrus', u'Spicy', u'Herbal']",8,8.5,9,4,4.35,4.7,20,21.5,23,1.5,1.75,2,0,0,0,6,6.1,6.2,,,,59,60,61,13.4,13.5,13.6,,,,0,0.5,1,78.4,80.1,81.8
Ultra,https://ychhops.com/varieties/ultra,aroma,4,"[u'Floral', u'Spicy']",9.2,9.45,9.7,3.8,3.9,4,23,30.5,38,1,1.25,1.5,0.1,0.3,0.5,6,7.5,9,0.6,0.8,1,50,55,60,10,12.5,15,1,1.25,1.5,0,0.5,1,67.7,77.85,88
